identifier;N  A2 Gal1;N  A2 Gal2;N  A2 Gal3;N  A2 Gal4;N  A2 homo1;N  A2 homo2;N  A2 homo3;N  A2 homo4;N  A2 sin1;N  A2 sin2 ;N  A2 sin3;N  A2 sin4;N  B16 Gal1;N  B16 Gal2;N  B16 Gal3;N  B16 Gal4;N  B16 homo1;N  B16 homo2;N  B16 homo3;N  B16 homo4;N  B16 sin1;N  B16 sin2;N  B16 sin3;N  B16 sin4;R  A2 Gal1;R  A2 Gal2;R  A2 Gal3;R  A2 Gal4;R  A2 homo1;R  A2 homo2;R  A2 homo3;R  A2 homo4;R  A2 sin1;R  A2 sin2 ;R  A2 sin3;R  A2 sin4;R  B16 Gal1;R  B16 Gal2;R  B16 Gal3;R  B16 Gal4 (1);R  B16 homo1;R  B16 homo2;R  B16 homo3;R  B16 homo4 (3);R  B16 sin1;R  B16 sin2;R  B16 sin3;R  B16 sin4 (3);RS  A2 Gal1;RS  A2 Gal2;RS  A2 Gal3;RS  A2 Gal4 (3);RS  A2 homo1;RS  A2 homo2;RS  A2 homo3 (2);RS  A2 homo4 (2);RS  B16 Gal1;RS  B16 Gal2;RS  B16 Gal3;RS  B16 Gal4 (1);RS  B16 homo1;RS  B16 homo2;RS  B16 homo3;RS  B16 homo4 (3);S  A2 sin1;S  A2 sin2;S  A2 sin3;S  A2 sin4 (2);S  B16 sin1;S  B16 sin2;S  B16 sin3;S  B16 sin4 (2);SS  A2 Gal1;SS  A2 Gal2;SS  A2 Gal3;SS  A2 Gal4 (3);SS  A2 homo1;SS  A2 homo2;SS  A2 homo3 (1);SS  A2 homo4 (2);SS  B16 Gal1;SS  B16 Gal2;SS  B16 Gal3;SS  B16 Gal4 (3);SS  B16 homo1;SS  B16 homo2;SS  B16 homo3 (1);SS  B16 homo4 (2)
9.29_309.21;363,99;21,13252468;1457,38;21,13252468;2113,47;1528,602303;1680,195196;21,13252468;3182,66;2954,6;401,42;1034,536785;21,13252468;1074,45;21,13252468;1421,04;3814,44;3755,19;3246,95;3728,110291;1947,37;4907,14;1612,685474;2871,32;22352,41195;49641,71055;57047,88144;64667,83802;84504,56;70117,93;66630,81683;84097,35;17464,22797;34780,14;20040,54;30030,19;45161,58;36781,33;36228,52;34471,96;48497,27156;32776,02555;59343,53;51031,91781;85036,19;69398,03;46084,36;47520,15;18265,80166;17359,85;17091,21;13122,83;22553,46;23944,51;20834,6;22580,81;19660,35;16280,88134;23366,03;19665,69;18752,33;28301,84;11025,69484;12130,94;32216,69;19127,51001;9278,051394;22201,49204;30634,34;30953,53;30149,46;29639,25;41585,03;47663,99;48409;52800,73529;14945,90132;24290,79;18549,71;18981,41571;35766,27861;39577,30772;27750,57932;41104,58;45746,55513;33801,92521;50121,83877;40611,61
2.00_132.10;192027,39;111065,31;255130,02;190533,84;222988,17;210574,31;284787,38;164036,97;325561,2;341467,62;340194,62;124074,91;280461,62;236313,64;161321,48;327872,2;399293,03;344049,78;346429,12;213789,61;427856,9;479120,78;361725,9;411765,72;19496,94;24187,54;52458,12;26360,9;41497,32;67864,98;45130,53;52243,73;31501,54;77540,25;70587,42;84458,68;133711,58;76120,32;107370;120558,17;93420,14;85845,53;80224,55;83730,87;20226,3;42397,07;49163,23;55486,4;65072,02;112570,67;171298,53;208292,3;101460,59;76585,05;74394,32;83670,38;181736,48;43153,56;179359,03;190527,11;104089,69;108065,43;76715,62;111493,3;169095,25;276369,88;362538,5;216665,7;104869,29;302755,62;167312,53;227268,67;188223,86;281161,38;292345,16;188700,64;275495,34;202016,03;289793,28;164414,25;358137,38;138810,9;302101,88;399421,16;96914,62;155988,9;219653,14;157063,88
2.61_140.05;10442,43;13647,98;8633,61;7317,85;7330,19;7255,62;7502,5;6090,69;12679,77;14729,96;7402,96;11911,27;14564,7;11550,18;9092,64;11045,26;8340,95;11648,25;10521,29;8963,55;8071,5;17044,22;21162,01;23263,58;114584,59;167210,73;116384,96;113128,34;90077,11;126161,04;94611,01;95620,95;94456,65;83541,77;99544,81;91067,23;134804,34;118334,28;116451,88;133492,94;128657,5;131407,94;114084,01;111111,64;40027,88;65852,81;53700,71;57451,29;3732,47;4858,61;5524,97;6228,83;5328,4;6094,55;6085,52;5903,95;3361,86;3832,41;4004,85;3625,33;4932,05;4510,48;3576,71;4086,54;5519,66;7737,39;8157,04;6769,98;4969,38;6509,59;6975,25;6423,77;4571,74;3923,23;5246,35;4605,64;5367,68;4447,88;5613,82;4341,12;2895,73;2782,74;3239,1;3132,23;5408,65;4047,46;4790,15;6085,07
7.29_427.14;30,291;23,58517759;30,291;23,58517759;30,291;23,58517759;23,650656;23,58517759;30,291;30,291;30,291;23,58517759;23,58517759;30,291;23,58517759;30,291;30,291;30,291;30,291;23,58517759;30,291;30,291;23,58517759;30,291;19464,38589;27291,5021;21900,20504;21243,61039;20502,8;25597,95;30242,67424;23807,32;10147,48159;10113,23;8963,91;9197,57;19274,74;14103,85;16863,67;21627,25;30980,49452;16986,31792;19843,28;23153,66508;15640,47;7903,21;11224,98;9652,3;2742,416337;1866,98;2162,62;2066,15;1317,05;874,43;560,76;661,52;542,61;1413,148533;1460,74;1131,9;1264,43;1287,78;4395,535546;3178,07;2947,95;2268,701533;3235,285753;2463,374511;1673,19;6125,16;1501,04;4490,11;2068,3;1654,06;4013,58;4271,493598;2394,329295;305,52;2123,21;484,535209;5698,113019;1632,952952;2623,402814;2525,95;1777,60497;1446,481254;3541,210353;1090,71
4.25_153.13;59009,71;113250,41;70944,55;63321,84;70889,53;47907,18;50092,67;50548,82;91358,87;107243,71;58688,79;97608,17;107788,35;42974,46;62688,79;73951,86;71637,41;81525,38;73177,38;66583,32;53816,45;162313,53;305595,66;309164,3;17833,63;18071,2;19006,57;17489,58;13825,19;16289,45;13276,02;13112,95;10213,92;16374,1;16460,96;16899,71;40601,68;28433,09;31248,26;38929,05;32551,48;29858,64;24971,26;25171,75;16419,06;19029,84;17542,32;18504,35;80465,81;138494,47;83019,89;88090,05;133728,14;89929,27;83964,34;89927,72;114378,53;118200,63;126084,52;114780,28;90212,2;103362,47;193891,42;211733,08;117493,14;89308,73;104363,62;79500,34;101222,66;75760,23;55958,59;74238,98;89672,88;92477,77;116472,69;94225,8;87231,04;71968,35;86111,67;67377,06;91227,23;62819,86;78969,3;83996,1;79591,44;71813,23;95767,27;98784,98
5.93_357.13;5129,38;4142,17;3967,45;3856,47;4227,27;4278,87;4437,61;5758,77;5142,2;3349,23;5109,17;2832,38;3317,65;6226,65;4214,88;5973,95;8393,18;6783,68;5407,03;4720,72;4883,98;2650,77;5876,58;11835,5;96004,09;85922,16;75662,17;47090,67;63959,14;113242,97;80184,91;106207,07;86888,72;142198,38;149240,22;146021,55;40352,94;43477,85;36018,29;45166,87;58970,66;50872,73;74315,22;50123,45;119429,56;85127,6;88141,77;86831,86;122670,48;95583,42;136826,75;135790,8;202419,55;142655,2;171766,84;176466,48;35569,79;39671,29;47530,33;33627,72;65328,48;116899,66;78529,81;95923,55;123420,97;242969,72;238254,33;164468,56;91415,56;85673,26;143824,81;96091,48;185719,8;190270,08;170721,98;131555,86;248460,47;200956,86;280157,62;181378;81312,04;63598,75;157449,83;167086,12;44998,19;105774,2;64467,88;68046,82
3.76_135.12;67580,77;71828,64;62494,75;59088,47;69408,61;62743,83;72792,85;66769,88;97138,27;94804,41;52876,66;92465,77;119695,98;67218,36;62976,33;73374,41;135728,92;101149,19;83022,12;77318,71;91337,71;144423,55;135570,77;144358,78;72497;82697,38;76549,95;69549,56;57351,13;74593,74;57201,71;55564,16;39519;59276,48;51861,76;62783,59;141131,23;122451,57;99469,52;145287,66;128610,17;109934,37;128042,47;135444,97;40935,65;38337,05;49165,93;48564,88;110328,43;121496,72;106821,48;115568,7;64487,75;74719,09;71766,11;71282,47;158011,52;83320,3;91630,47;162920,34;119963,97;86140,66;118159,1;128530,79;118278,68;112285,97;115684,31;106630,38;139475,08;125074,59;90454,12;123047,23;130245,19;124252;139148,53;116651,82;70374,8;68812,45;70678,81;63793,24;178595,53;112347,52;130106,84;124462,74;80869;82354,51;109658,23;100414,7
1.20_191.06;11086736;8396095,088;9876274;9374284,703;10274534;10995232,11;11751416,09;10837396,5;9857019;10548515;11051741;9875848,331;9200847,883;11876153;10081211,68;11060507;10193687;11633060;12500120;11041250,89;12603663;10435920;9422988,94;10938033;295177,7126;359840,6998;226764,9149;227312,495;271886,5;439914,34;339374,5181;235435,66;269844,8913;198629,47;303447,03;181565,22;123825,9;169280,44;142741,02;108821,04;296391,8147;308510,6547;95017,12;153533,9593;139506,02;225096,45;239616,97;225808,48;975282,7154;796490,4;553218,8;564239,25;443043,2;660616,06;465218,8;494949,06;408885,25;544599,1684;481484,03;487250,9;643420,44;580428,9;991727,6364;603294,5;1191214,8;1932886,968;2167518,872;1421984,157;515926,03;1301207,9;1639002,8;1093980,9;1942506,8;951276,25;579254;834251,5912;1635205,388;1221602,8;1001393,1;1876148,515;1883299,137;1501775,575;2331851,931;1463308,5;1836119,195;1400765,673;1909097,533;1130042
1.24_383.13;172941,22;123170,9836;174614,6;169309,8308;194916,64;250519,9017;281422,1001;249811,9182;161885,48;177131,44;183019,64;173227,3949;149719,1839;215472,88;196592,0517;175497,27;133549,95;237271,89;262247,56;244516,843;188308,67;178100;97194,61731;104625,93;874,3902294;502,6926268;368,1626679;659,9894337;2060,82;1650,6;1364,079903;822,55;606,7473999;275,91;1330,13;25,601;25,601;256,01;25,601;1210,39;800,421332;964,0857189;25,601;233,0320818;285,52;457,69;1490,78;1358,98;7135,296789;6704,12;3850,45;3034,11;3036,6;5628,69;3011,93;3579,49;2203,16;2479,780034;3354,53;2877,56;4199,31;3979,95;7863,174098;4179,14;10610,97;12717,89412;17523,3239;11270,74991;3359,4;8530,22;12445,36;7122,28;14676,9;6328,68;2451,03;3970,486903;12220,35665;11389,2;7298,07;13692,14123;3203,882716;9584,196755;8844,897176;7399,13;15639,86688;10262,27353;15065,08961;9180,29
4.84_375.15;38425,03;64358,14;58569,78;49402,77;75597,16;36781,36;40662,97;37624,14;120226,12;129918,94;51201;119220,1;84207,78;33164,62;35627,78;39985,73;77305,47;55517,61;69108,66;69328,59;48346,09;91151,45;59709,16;61694,23;547184,4;619370,94;555978,56;530663,44;562344,44;589690;557020,06;552491,75;584906,3;490641,47;494056,12;465890,88;617593,56;596861,4;588766,06;564876,2;541609,8;600961,2;677940,9;640419,5;590852,5;739695,56;500115,88;516977,84;10552,15;9174,46;14107,88;15014,86;13675,93;13765,3;12448,57;11816,92;9809,12;5688,35;7159,72;9937,77;9447,49;8366,79;6983,77;7076,52;18801,16;19120,06;20592,34;15992,36;8079,93;7196,95;8117,84;7552,98;12266,73;9465,01;22551,33;7435,87;12924,93;10466,13;14395,18;8054,33;21593,47;13164,06;9698,81;10201,77;4825,23;10820,2;4291,38;6846,05
