Nº of code runs;Top 5;Variable;Importance;Classification_type;Supervised_Learning_model
1;1;5.29_337.13;2,41392859;Rootstock_type;Lasso
;2;4.29_206.07;1,6792505;Rootstock_type;Lasso
;3;5.52_447.23;1,22705429;Rootstock_type;Lasso
;4;5.93_357.13;1,20187516;Rootstock_type;Lasso
;5;2.44_120.08;0,79510081;Rootstock_type;Lasso
2;1;5.29_337.13;1,35037331;Rootstock_type;Lasso
;2;4.29_206.07;1,1176822;Rootstock_type;Lasso
;3;5.52_447.23;0,68942593;Rootstock_type;Lasso
;4;5.93_357.13;0,4351244;Rootstock_type;Lasso
;5;3.15_429.17;0,39387502;Rootstock_type;Lasso
3;1;5.29_337.13;1,020185161;Rootstock_type;Lasso
;2;4.29_206.07;0,939514065;Rootstock_type;Lasso
;3;5.52_447.23;0,880888495;Rootstock_type;Lasso
;4;5.93_357.13;0,515168447;Rootstock_type;Lasso
;5;3.76_135.12;0,331138279;Rootstock_type;Lasso
4;1;5.29_337.13;1,722664495;Rootstock_type;Lasso
;2;4.29_206.07;1,342001817;Rootstock_type;Lasso
;3;5.93_357.13;0,639014026;Rootstock_type;Lasso
;4;2.44_120.08;0,35641674;Rootstock_type;Lasso
;5;3.07_711.22;0,218841579;Rootstock_type;Lasso
5;1;5.29_337.13;1,90024502;Rootstock_type;Lasso
;2;4.29_206.07;1,60435525;Rootstock_type;Lasso
;3;5.52_447.23;1,55171104;Rootstock_type;Lasso
;4;5.93_357.13;0,92137924;Rootstock_type;Lasso
;5;4.86_449.11;0,62284734;Rootstock_type;Lasso
6;1;4.29_206.07;1,20264697;Rootstock_type;Lasso
;2;5.52_447.23;1,11627329;Rootstock_type;Lasso
;3;5.29_337.13;1,06192248;Rootstock_type;Lasso
;4;3.15_429.17;0,55122538;Rootstock_type;Lasso
;5;5.61_323.11;0,46399271;Rootstock_type;Lasso
7;1;5.29_337.13;1,400824263;Rootstock_type;Lasso
;2;4.29_206.07;1,082545184;Rootstock_type;Lasso
;3;5.93_357.13;0,660100552;Rootstock_type;Lasso
;4;5.52_447.23;0,477496201;Rootstock_type;Lasso
;5;3.76_135.12;0,40959008;Rootstock_type;Lasso
8;1;5.29_337.13;1,2117547;Rootstock_type;Lasso
;2;4.29_206.07;0,89344444;Rootstock_type;Lasso
;3;5.52_447.23;0,823239;Rootstock_type;Lasso
;4;5.93_357.13;0,62378582;Rootstock_type;Lasso
;5;5.44_497.18;0,33826755;Rootstock_type;Lasso
9;1;5.29_337.13;2,19174428;Rootstock_type;Lasso
;2;4.29_206.07;1,50253339;Rootstock_type;Lasso
;3;3.76_135.12;1,02160764;Rootstock_type;Lasso
;4;5.61_323.11;0,7343017;Rootstock_type;Lasso
;5;5.52_447.23;0,62910941;Rootstock_type;Lasso
10;1;5.29_337.13;1,37589822;Rootstock_type;Lasso
;2;4.29_206.07;1,11731851;Rootstock_type;Lasso
;3;5.52_447.23;0,52220769;Rootstock_type;Lasso
;4;5.96_337.11;0,38811754;Rootstock_type;Lasso
;5;5.93_357.13;0,326828;Rootstock_type;Lasso
1;1;2.18_281.10;2,396023090;Homo_vs_Absent;Lasso
;2;2.60_345.12;2,158590930;Homo_vs_Absent;Lasso
;3;1.85_210.04;1,492304030;Homo_vs_Absent;Lasso
;4;3.73_464.18;1,308547420;Homo_vs_Absent;Lasso
;5;4.26_263.13;1,153022280;Homo_vs_Absent;Lasso
2;1;2.18_281.10;1,908217660;Homo_vs_Absent;Lasso
;2;3.27_137.02;0,872138330;Homo_vs_Absent;Lasso
;3;5.12_301.07;0,710853670;Homo_vs_Absent;Lasso
;4;9.13_319.23;0,554409030;Homo_vs_Absent;Lasso
;5;1.85_210.04;0,551405420;Homo_vs_Absent;Lasso
3;1;3.73_464.18;1,770517800;Homo_vs_Absent;Lasso
;2;2.60_345.12;1,480797100;Homo_vs_Absent;Lasso
;3;4.26_263.13;1,387317400;Homo_vs_Absent;Lasso
;4;1.85_210.04;1,376853500;Homo_vs_Absent;Lasso
;5;2.18_281.10;1,211470200;Homo_vs_Absent;Lasso
4;1;4.26_263.13;1,807580150;Homo_vs_Absent;Lasso
;2;2.18_281.10;1,756918010;Homo_vs_Absent;Lasso
;3;1.85_210.04;1,707930660;Homo_vs_Absent;Lasso
;4;2.60_345.12;1,317396630;Homo_vs_Absent;Lasso
;5;8.48_663.46;0,710223550;Homo_vs_Absent;Lasso
5;1;2.18_281.10;2,915799990;Homo_vs_Absent;Lasso
;2;3.27_137.02;1,487719759;Homo_vs_Absent;Lasso
;3;10.79_742.47;1,241134414;Homo_vs_Absent;Lasso
;4;1.85_210.04;1,099267711;Homo_vs_Absent;Lasso
;5;2.54_125.06;0,869213344;Homo_vs_Absent;Lasso
6;1;4.29_441.18;1,695333830;Homo_vs_Absent;Lasso
;2;1.85_210.04;1,504963670;Homo_vs_Absent;Lasso
;3;2.60_345.12;1,207868980;Homo_vs_Absent;Lasso
;4;2.21_135.05;0,997200280;Homo_vs_Absent;Lasso
;5;5.31_331.16;0,958925050;Homo_vs_Absent;Lasso
7;1;2.18_281.10;1,481298300;Homo_vs_Absent;Lasso
;2;1.85_210.04;1,349235400;Homo_vs_Absent;Lasso
;3;4.26_263.13;1,169953300;Homo_vs_Absent;Lasso
;4;3.74_373.19;0,889058400;Homo_vs_Absent;Lasso
;5;3.25_139.04;0,830170800;Homo_vs_Absent;Lasso
8;1;1.85_210.04;1,258987620;Homo_vs_Absent;Lasso
;2;3.74_373.19;0,778500180;Homo_vs_Absent;Lasso
;3;2.18_281.10;0,729072490;Homo_vs_Absent;Lasso
;4;2.56_329.09;0,725535650;Homo_vs_Absent;Lasso
;5;3.73_464.18;0,721560710;Homo_vs_Absent;Lasso
9;1;3.73_464.18;2,138862310;Homo_vs_Absent;Lasso
;2;1.85_210.04;1,437123650;Homo_vs_Absent;Lasso
;3;3.54_357.15;1,434748500;Homo_vs_Absent;Lasso
;4;5.12_301.07;1,323725290;Homo_vs_Absent;Lasso
;5;2.18_281.10;1,026984960;Homo_vs_Absent;Lasso
10;1;2.18_281.10;2,233166610;Homo_vs_Absent;Lasso
;2;1.85_210.04;1,835302430;Homo_vs_Absent;Lasso
;3;4.26_263.13;1,504238420;Homo_vs_Absent;Lasso
;4;5.31_331.16;1,114875540;Homo_vs_Absent;Lasso
;5;3.74_373.19;1,082845680;Homo_vs_Absent;Lasso
1;1;2.18_281.10;1,05467608;Homo_vs_Galicia;Lasso
;2;3.25_285.10;0,72263122;Homo_vs_Galicia;Lasso
;3;9.80_520.34;0,5888381;Homo_vs_Galicia;Lasso
;4;0.82_175.12;0,461282070;Homo_vs_Galicia;Lasso
;5;9.14_287.24;0,361614080;Homo_vs_Galicia;Lasso
2;1;2.18_281.10;1,039291916;Homo_vs_Galicia;Lasso
;2;4.10_191.02;1,015362255;Homo_vs_Galicia;Lasso
;3;9.70_285.22;0,930065732;Homo_vs_Galicia;Lasso
;4;1.17_130.10;0,835299519;Homo_vs_Galicia;Lasso
;5;10.22_279.23;0,783116734;Homo_vs_Galicia;Lasso
3;1;1.17_130.10;2,984031382;Homo_vs_Galicia;Lasso
;2;9.70_285.22;2,191108542;Homo_vs_Galicia;Lasso
;3;2.99_289.07;1,600952192;Homo_vs_Galicia;Lasso
;4;5.35_466.27;1,430661032;Homo_vs_Galicia;Lasso
;5;5.84_251.17;1,415276581;Homo_vs_Galicia;Lasso
4;1;2.18_281.10;1,407817800;Homo_vs_Galicia;Lasso
;2;9.80_520.34;1,089502010;Homo_vs_Galicia;Lasso
;3;3.34_191.03;1,015264800;Homo_vs_Galicia;Lasso
;4;3.07_711.22;0,850280330;Homo_vs_Galicia;Lasso
;5;2.04_149.06;0,828585860;Homo_vs_Galicia;Lasso
5;1;10.95_437.27;0,861243257;Homo_vs_Galicia;Lasso
;2;0.82_175.12;0,699107371;Homo_vs_Galicia;Lasso
;3;3.35_344.14;0,638442373;Homo_vs_Galicia;Lasso
;4;3.25_285.10;0,483033607;Homo_vs_Galicia;Lasso
;5;9.80_520.34;0,457519230;Homo_vs_Galicia;Lasso
6;1;1.17_130.10;1,895585378;Homo_vs_Galicia;Lasso
;2;2.18_281.10;1,823692669;Homo_vs_Galicia;Lasso
;3;2.04_149.06;1,279326156;Homo_vs_Galicia;Lasso
;4;3.35_344.14;1,124995651;Homo_vs_Galicia;Lasso
;5;1.99_268.10;1,017866222;Homo_vs_Galicia;Lasso
7;1;2.99_289.07;1,921658150;Homo_vs_Galicia;Lasso
;2;2.18_281.10;1,717281910;Homo_vs_Galicia;Lasso
;3;9.14_287.24;1,515326440;Homo_vs_Galicia;Lasso
;4;4.85_133.10;1,455343090;Homo_vs_Galicia;Lasso
;5;4.10_191.02;1,437723430;Homo_vs_Galicia;Lasso
8;1;2.18_281.10;1,153362470;Homo_vs_Galicia;Lasso
;2;9.14_287.24;1,012642339;Homo_vs_Galicia;Lasso
;3;3.25_285.10;0,882824208;Homo_vs_Galicia;Lasso
;4;2.04_121.07;0,761141554;Homo_vs_Galicia;Lasso
;5;5.84_251.17;0,661630506;Homo_vs_Galicia;Lasso
9;1;2.18_281.10;1,496216000;Homo_vs_Galicia;Lasso
;2;3.25_285.10;1,430864000;Homo_vs_Galicia;Lasso
;3;3.34_191.03;1,352728000;Homo_vs_Galicia;Lasso
;4;4.10_191.02;0,714523800;Homo_vs_Galicia;Lasso
;5;3.35_344.14;0,680301800;Homo_vs_Galicia;Lasso
10;1;9.80_520.34;0,882809775;Homo_vs_Galicia;Lasso
;2;3.35_344.14;0,765723062;Homo_vs_Galicia;Lasso
;3;3.25_285.10;0,474481948;Homo_vs_Galicia;Lasso
;4;2.18_281.10;0,406860856;Homo_vs_Galicia;Lasso
;5;2.21_265.09;0,352484378;Homo_vs_Galicia;Lasso
1;1;4.86_449.11;1,178247430;Rootstock_Graft;Lasso
;2;7.53_277.22;0,893402900;Rootstock_Graft;Lasso
;3;2.56_167.04;0,689748360;Rootstock_Graft;Lasso
;4;4.20_307.12;0,443085640;Rootstock_Graft;Lasso
;5;11.04_263.24;0,403661550;Rootstock_Graft;Lasso
2;1;7.53_277.22;0,790890790;Rootstock_Graft;Lasso
;2;4.86_449.11;0,576221020;Rootstock_Graft;Lasso
;3;4.67_135.04;0,538567320;Rootstock_Graft;Lasso
;4;4.20_307.12;0,286747790;Rootstock_Graft;Lasso
;5;5.12_301.07;0,174663440;Rootstock_Graft;Lasso
3;1;4.86_449.11;1,520617400;Rootstock_Graft;Lasso
;2;7.53_277.22;1,050999500;Rootstock_Graft;Lasso
;3;2.56_167.04;0,900490100;Rootstock_Graft;Lasso
;4;4.20_307.12;0,669128200;Rootstock_Graft;Lasso
;5;1.85_210.04;0,555632400;Rootstock_Graft;Lasso
4;1;2.56_167.04;0,908160030;Rootstock_Graft;Lasso
;2;4.86_449.11;0,793045490;Rootstock_Graft;Lasso
;3;7.53_277.22;0,580165960;Rootstock_Graft;Lasso
;4;4.20_307.12;0,406687760;Rootstock_Graft;Lasso
;5;5.38_137.02;0,189248210;Rootstock_Graft;Lasso
5;1;7.53_277.22;0,713375014;Rootstock_Graft;Lasso
;2;4.86_449.11;0,681377623;Rootstock_Graft;Lasso
;3;2.58_499.15;0,624902287;Rootstock_Graft;Lasso
;4;3.79_575.23;0,499551221;Rootstock_Graft;Lasso
;5;1.85_210.04;0,403837482;Rootstock_Graft;Lasso
6;1;7.53_277.22;0,599177750;Rootstock_Graft;Lasso
;2;4.67_135.04;0,542866850;Rootstock_Graft;Lasso
;3;4.20_307.12;0,365427480;Rootstock_Graft;Lasso
;4;4.86_449.11;0,330974340;Rootstock_Graft;Lasso
;5;3.34_137.02;0,202625090;Rootstock_Graft;Lasso
7;1;4.86_449.11;1,026633240;Rootstock_Graft;Lasso
